질문ID,질문내용,모델,순수점수,RAG점수,개선점수,순수응답시간,RAG응답시간,시간변화,사용판례수,분석결과
q02,퇴직금 지급 기일을 연장하는 합의를 했더라도 연장된 기일까지 지급하지 않으면 형사처벌을 받...,GPT-4o,N/A,N/A,62.0,5.393526315689087,5.252018451690674,-0.14150786399841309,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 1개 추가로 근거 강화; 답변 길이 220글자 증가; 3건 판례 활용...
q02,퇴직금 지급 기일을 연장하는 합의를 했더라도 연장된 기일까지 지급하지 않으면 형사처벌을 받...,Claude-3.5,N/A,N/A,36.7,11.034537315368652,12.61004090309143,1.5755035877227783,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 3건 판례 활용...
q03,여객자동차법상 운수종사자 보수교육 시간이 근로시간에 포함되는 기준은 무엇인가요?...,GPT-4o,N/A,N/A,45.4,4.598484516143799,9.419598817825317,4.8211143016815186,3,법률 키워드 증가 없음; 답변 길이 304글자 증가; 3건 판례 활용...
q03,여객자동차법상 운수종사자 보수교육 시간이 근로시간에 포함되는 기준은 무엇인가요?...,Claude-3.5,N/A,N/A,30.4,12.574886322021484,16.877273321151733,4.302386999130249,3,법률 키워드 증가 없음; 답변 길이 154글자 증가; 3건 판례 활용...
q01,취업규칙을 근로자에게 불리하게 변경할 때 사용자가 지켜야 할 법적 요건은 무엇인가요?...,GPT-4o,N/A,N/A,60.2,6.792048215866089,9.273576498031616,2.4815282821655273,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 1개 추가로 근거 강화; 답변 길이 202글자 증가; 3건 판례 활용...
q01,취업규칙을 근로자에게 불리하게 변경할 때 사용자가 지켜야 할 법적 요건은 무엇인가요?...,Claude-3.5,N/A,N/A,19.0,14.09088921546936,15.057216167449951,0.9663269519805908,3,법률 키워드 증가 없음; 3건 판례 활용...
q04,휴일근로수당 지급 대상이 되는 휴일의 범위와 판단 기준은 어떻게 되나요?...,GPT-4o,N/A,N/A,55.5,8.629016160964966,14.078267097473145,5.449250936508179,3,법률 키워드 2개 추가로 근거 강화; 답변 길이 305글자 증가; 3건 판례 활용...
q04,휴일근로수당 지급 대상이 되는 휴일의 범위와 판단 기준은 어떻게 되나요?...,Claude-3.5,N/A,N/A,37.2,12.59322476387024,15.68224549293518,3.0890207290649414,3,법률 키워드 2개 추가로 근거 강화; 답변 길이 122글자 증가; 3건 판례 활용...
q06,의사가 의료기관에 대하여 갖는 급여·수당·퇴직금 채권이 상사채권에 해당하는지 여부는?...,GPT-4o,N/A,N/A,73.6,4.112083435058594,10.402012586593628,6.289929151535034,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 4개 추가로 근거 강화; 답변 길이 186글자 증가; 3건 판례 활용...
q06,의사가 의료기관에 대하여 갖는 급여·수당·퇴직금 채권이 상사채권에 해당하는지 여부는?...,Claude-3.5,N/A,N/A,46.1,10.130731105804443,13.522479772567749,3.3917486667633057,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 답변 길이 111글자 증가; 3건 판례 활용...
q05,근로기준법 위반죄에서 사용자의 고의 인정 기준과 소멸시효 적용 원칙은 무엇인가요?...,GPT-4o,N/A,N/A,51.0,5.845334768295288,10.889617919921875,5.044283151626587,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 답변 길이 160글자 증가; 3건 판례 활용...
q05,근로기준법 위반죄에서 사용자의 고의 인정 기준과 소멸시효 적용 원칙은 무엇인가요?...,Claude-3.5,N/A,N/A,50.4,17.761175394058228,15.953447103500366,-1.8077282905578613,3,사건번호 2건 인용으로 구체성 향상; 법률 키워드 증가 없음; 3건 판례 활용...
q07,부당이득반환청구권의 소멸시효 기산점과 상계적상 발생 조건은 무엇인가요?...,GPT-4o,N/A,N/A,69.9,5.815820217132568,14.18018651008606,8.364366292953491,3,법률 키워드 9개 추가로 근거 강화; 3건 판례 활용...
q07,부당이득반환청구권의 소멸시효 기산점과 상계적상 발생 조건은 무엇인가요?...,Claude-3.5,N/A,N/A,0,13.747329473495483,8.78105115890503,-4.966278314590454,3,법률 키워드 1개 추가로 근거 강화; 답변 길이 298글자 감소; 3건 판례 활용...
q08,임대차계약에서 보증금 반환의무와 지연손해금 산정 기준은 어떻게 되나요?...,GPT-4o,N/A,N/A,93.1,7.665740251541138,18.57443404197693,10.908693790435791,3,법률 키워드 10개 추가로 근거 강화; 답변 길이 281글자 증가; 3건 판례 활용...
q08,임대차계약에서 보증금 반환의무와 지연손해금 산정 기준은 어떻게 되나요?...,Claude-3.5,N/A,N/A,28.7,10.200644731521606,8.79024076461792,-1.4104039669036865,3,법률 키워드 5개 추가로 근거 강화; 답변 길이 113글자 감소; 3건 판례 활용...
q12,영업정지 처분에 대한 불복절차와 집행정지 신청 요건은 어떻게 되나요?...,GPT-4o,N/A,N/A,100,4.993169546127319,8.231291770935059,3.2381222248077393,3,법률 키워드 12개 추가로 근거 강화; 답변 길이 254글자 증가; 3건 판례 활용...
q12,영업정지 처분에 대한 불복절차와 집행정지 신청 요건은 어떻게 되나요?...,Claude-3.5,N/A,N/A,0,11.89826226234436,10.691285133361816,-1.206977128982544,3,법률 키워드 1개 추가로 근거 강화; 답변 길이 209글자 감소; 3건 판례 활용...
q09,계약 해제 시 원상회복 의무의 범위와 손해배상 청구 요건은 무엇인가요?...,GPT-4o,N/A,N/A,70.0,5.938637733459473,14.924677610397339,8.986039876937866,3,법률 키워드 1개 추가로 근거 강화; 답변 길이 533글자 증가; 3건 판례 활용...
q09,계약 해제 시 원상회복 의무의 범위와 손해배상 청구 요건은 무엇인가요?...,Claude-3.5,N/A,N/A,0,18.328993558883667,15.576927185058594,-2.7520663738250732,3,법률 키워드 증가 없음; 답변 길이 181글자 감소; 3건 판례 활용...
q11,행정처분 취소소송에서 처분청의 재량권 일탈·남용 판단 기준은 무엇인가요?...,GPT-4o,N/A,N/A,100,6.307050704956055,11.320987462997437,5.013936758041382,3,법률 키워드 15개 추가로 근거 강화; 답변 길이 364글자 증가; 3건 판례 활용...
q11,행정처분 취소소송에서 처분청의 재량권 일탈·남용 판단 기준은 무엇인가요?...,Claude-3.5,N/A,N/A,26.2,14.243335008621216,17.01720094680786,2.7738659381866455,3,법률 키워드 증가 없음; 답변 길이 112글자 증가; 3건 판례 활용...
q10,불법행위로 인한 손해배상에서 정신적 피해의 인정 기준과 배상 범위는?...,GPT-4o,N/A,N/A,50.2,7.13899302482605,12.756376504898071,5.6173834800720215,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 답변 길이 152글자 증가; 3건 판례 활용...
q10,불법행위로 인한 손해배상에서 정신적 피해의 인정 기준과 배상 범위는?...,Claude-3.5,N/A,N/A,0.40000000000000036,17.239777088165283,18.739846229553223,1.5000691413879395,3,법률 키워드 증가 없음; 답변 길이 146글자 감소; 3건 판례 활용...
q13,행정청의 허가 거부처분에 대한 취소소송 제기 시 입증책임 분배는?...,GPT-4o,N/A,N/A,100,4.509379148483276,8.140010595321655,3.630631446838379,3,법률 키워드 17개 추가로 근거 강화; 답변 길이 409글자 증가; 3건 판례 활용...
q13,행정청의 허가 거부처분에 대한 취소소송 제기 시 입증책임 분배는?...,Claude-3.5,N/A,N/A,7.9,18.385424852371216,16.1749165058136,-2.210508346557617,3,법률 키워드 증가 없음; 3건 판례 활용...
q14,공무원 징계처분의 적법성 판단 기준과 비례원칙 적용은 어떻게 이루어지나요?...,GPT-4o,N/A,N/A,33.3,7.24221396446228,9.103176593780518,1.8609626293182373,3,법률 키워드 1개 추가로 근거 강화; 답변 길이 133글자 증가; 3건 판례 활용...
q14,공무원 징계처분의 적법성 판단 기준과 비례원칙 적용은 어떻게 이루어지나요?...,Claude-3.5,N/A,N/A,36.0,12.277183532714844,16.941863298416138,4.664679765701294,3,법률 키워드 증가 없음; 답변 길이 210글자 증가; 3건 판례 활용...
q15,"행정대집행의 요건과 절차, 그리고 손해배상 청구 가능성은?...",GPT-4o,N/A,N/A,55.8,9.19048285484314,10.792301654815674,1.6018187999725342,3,법률 키워드 5개 추가로 근거 강화; 답변 길이 158글자 증가; 3건 판례 활용...
q15,"행정대집행의 요건과 절차, 그리고 손해배상 청구 가능성은?...",Claude-3.5,N/A,N/A,11.9,13.191559553146362,13.860549211502075,0.6689896583557129,3,법률 키워드 증가 없음; 3건 판례 활용...
q16,주식회사 이사의 선관주의의무 위반 시 손해배상책임의 범위와 면책 요건은?...,GPT-4o,N/A,N/A,100,7.34053635597229,9.812973260879517,2.4724369049072266,3,법률 키워드 14개 추가로 근거 강화; 답변 길이 297글자 증가; 3건 판례 활용...
q16,주식회사 이사의 선관주의의무 위반 시 손해배상책임의 범위와 면책 요건은?...,Claude-3.5,N/A,N/A,10.7,19.648690223693848,14.991782665252686,-4.656907558441162,3,사건번호 1건 인용으로 구체성 향상; 법률 키워드 증가 없음; 답변 길이 243글자 감소; 3건 판례 활용...
q17,상법상 상인 판단 기준과 상사채권에 대한 특례 적용 여부는?...,GPT-4o,N/A,N/A,56.9,10.84316873550415,8.910633563995361,-1.932535171508789,3,법률 키워드 7개 추가로 근거 강화; 3건 판례 활용...
q17,상법상 상인 판단 기준과 상사채권에 대한 특례 적용 여부는?...,Claude-3.5,N/A,N/A,23.7,15.323424816131592,9.797042608261108,-5.526382207870483,3,법률 키워드 8개 추가로 근거 강화; 답변 길이 313글자 감소; 3건 판례 활용...
q19,어음·수표법상 배서인의 담보책임과 소구권 행사의 법적 요건은?...,GPT-4o,N/A,N/A,39.3,7.57915735244751,18.358375072479248,10.779217720031738,3,법률 키워드 2개 추가로 근거 강화; 답변 길이 143글자 증가; 3건 판례 활용...
q19,어음·수표법상 배서인의 담보책임과 소구권 행사의 법적 요건은?...,Claude-3.5,N/A,N/A,33.9,15.6551353931427,8.244910955429077,-7.410224437713623,3,법률 키워드 11개 추가로 근거 강화; 답변 길이 361글자 감소; 3건 판례 활용...
q18,회사 합병 시 주주의 반대주주 주식매수청구권 행사 요건과 절차는?...,GPT-4o,N/A,N/A,66.4,6.948049783706665,18.45551562309265,11.507465839385986,3,법률 키워드 4개 추가로 근거 강화; 답변 길이 314글자 증가; 3건 판례 활용...
q18,회사 합병 시 주주의 반대주주 주식매수청구권 행사 요건과 절차는?...,Claude-3.5,N/A,N/A,0,17.77064085006714,8.715409278869629,-9.05523157119751,3,법률 키워드 8개 추가로 근거 강화; 답변 길이 589글자 감소; 3건 판례 활용...
q20,상사중재 합의의 효력과 법원의 중재판정 취소 사유는 무엇인가요?...,GPT-4o,N/A,N/A,83.7,8.757679224014282,10.223899364471436,1.4662201404571533,3,법률 키워드 5개 추가로 근거 강화; 답변 길이 437글자 증가; 3건 판례 활용...
q20,상사중재 합의의 효력과 법원의 중재판정 취소 사유는 무엇인가요?...,Claude-3.5,N/A,N/A,0,19.776646852493286,10.112688779830933,-9.663958072662354,3,법률 키워드 증가 없음; 답변 길이 450글자 감소; 3건 판례 활용...
q21,업무상배임죄에서 '타인의 사무 처리' 요건과 배임행위의 인정 기준은?...,GPT-4o,N/A,N/A,100,6.272679805755615,9.999202489852905,3.72652268409729,3,법률 키워드 11개 추가로 근거 강화; 답변 길이 334글자 증가; 3건 판례 활용...
q21,업무상배임죄에서 '타인의 사무 처리' 요건과 배임행위의 인정 기준은?...,Claude-3.5,N/A,N/A,0,21.060892820358276,8.384109735488892,-12.676783084869385,3,법률 키워드 7개 추가로 근거 강화; 답변 길이 578글자 감소; 3건 판례 활용...
q23,사기죄에서 기망행위의 인정 기준과 재산상 손해 발생의 인과관계는?...,GPT-4o,N/A,N/A,57.0,14.374990940093994,10.40275764465332,-3.972233295440674,3,법률 키워드 1개 추가로 근거 강화; 답변 길이 370글자 증가; 3건 판례 활용...
q23,사기죄에서 기망행위의 인정 기준과 재산상 손해 발생의 인과관계는?...,Claude-3.5,N/A,N/A,0,15.94420075416565,9.311681270599365,-6.632519483566284,3,법률 키워드 3개 추가로 근거 강화; 답변 길이 498글자 감소; 3건 판례 활용...
q24,공무원 뇌물죄에서 '직무관련성' 판단 기준과 부정청탁금지법과의 관계는?...,GPT-4o,N/A,N/A,56.2,7.352848768234253,9.56875205039978,2.2159032821655273,3,법률 키워드 5개 추가로 근거 강화; 답변 길이 162글자 증가; 3건 판례 활용...
q24,공무원 뇌물죄에서 '직무관련성' 판단 기준과 부정청탁금지법과의 관계는?...,Claude-3.5,N/A,N/A,0,17.420140266418457,9.216769933700562,-8.203370332717896,3,법률 키워드 3개 추가로 근거 강화; 답변 길이 473글자 감소; 3건 판례 활용...
q22,횡령죄와 배임죄의 구별 기준과 각각의 성립요건은 무엇인가요?...,GPT-4o,N/A,N/A,100,18.911150217056274,11.598162412643433,-7.312987804412842,2,법률 키워드 10개 추가로 근거 강화; 답변 길이 400글자 증가; 2건 판례 활용...
q22,횡령죄와 배임죄의 구별 기준과 각각의 성립요건은 무엇인가요?...,Claude-3.5,N/A,N/A,16.0,14.066411018371582,9.930978059768677,-4.135432958602905,2,법률 키워드 8개 추가로 근거 강화; 답변 길이 340글자 감소; 2건 판례 활용...
q25,정당방위 성립요건 중 '현재의 부당한 침해'와 '상당성' 판단 기준은?...,GPT-4o,N/A,N/A,39.1,8.3665132522583,9.125027656555176,0.758514404296875,3,법률 키워드 2개 추가로 근거 강화; 답변 길이 141글자 증가; 3건 판례 활용...
q25,정당방위 성립요건 중 '현재의 부당한 침해'와 '상당성' 판단 기준은?...,Claude-3.5,N/A,N/A,10.299999999999997,18.23604106903076,10.062628269195557,-8.173412799835205,3,법률 키워드 7개 추가로 근거 강화; 답변 길이 397글자 감소; 3건 판례 활용...
q27,친권자 지정에서 자녀의 복리 판단 기준과 면접교섭권의 제한 사유는?...,GPT-4o,N/A,N/A,36.5,8.663712739944458,7.866128206253052,-0.7975845336914062,3,법률 키워드 4개 추가로 근거 강화; 3건 판례 활용...
q27,친권자 지정에서 자녀의 복리 판단 기준과 면접교섭권의 제한 사유는?...,Claude-3.5,N/A,N/A,17.4,15.346593618392944,8.248547315597534,-7.09804630279541,3,법률 키워드 9개 추가로 근거 강화; 답변 길이 426글자 감소; 3건 판례 활용...
q26,이혼 시 재산분할청구권의 대상 재산 범위와 분할 비율 결정 기준은?...,GPT-4o,N/A,N/A,72.0,9.378067255020142,14.023657321929932,4.64559006690979,3,법률 키워드 4개 추가로 근거 강화; 답변 길이 370글자 증가; 3건 판례 활용...
q26,이혼 시 재산분할청구권의 대상 재산 범위와 분할 비율 결정 기준은?...,Claude-3.5,N/A,N/A,4.799999999999997,17.004583835601807,8.512508869171143,-8.492074966430664,3,법률 키워드 7개 추가로 근거 강화; 답변 길이 452글자 감소; 3건 판례 활용...
q28,유언의 방식별 성립요건과 유언무효 확인소송의 증명책임은?...,GPT-4o,N/A,N/A,11.5,12.320490837097168,9.957749843597412,-2.362740993499756,0,법률 키워드 7개 추가로 근거 강화; 답변 길이 235글자 감소; 관련 판례 찾지 못함...
q28,유언의 방식별 성립요건과 유언무효 확인소송의 증명책임은?...,Claude-3.5,N/A,N/A,48.2,18.277103900909424,18.11424732208252,-0.1628565788269043,0,법률 키워드 8개 추가로 근거 강화; 관련 판례 찾지 못함...
q29,상속재산 분할 시 특별수익자의 구체적 상속분 산정 방법은?...,GPT-4o,N/A,N/A,33.5,8.429126262664795,14.028112411499023,5.5989861488342285,3,법률 키워드 2개 추가로 근거 강화; 3건 판례 활용...
q29,상속재산 분할 시 특별수익자의 구체적 상속분 산정 방법은?...,Claude-3.5,N/A,N/A,0,20.08737826347351,8.957046508789062,-11.130331754684448,3,법률 키워드 6개 추가로 근거 강화; 답변 길이 613글자 감소; 3건 판례 활용...
q30,혼인 무효·취소 사유와 그 법적 효과의 차이점은 무엇인가요?...,GPT-4o,N/A,N/A,92.8,6.903234481811523,16.62276816368103,9.719533681869507,3,법률 키워드 11개 추가로 근거 강화; 답변 길이 228글자 증가; 3건 판례 활용...
q30,혼인 무효·취소 사유와 그 법적 효과의 차이점은 무엇인가요?...,Claude-3.5,N/A,N/A,0,15.494595527648926,10.515009641647339,-4.979585886001587,3,법률 키워드 1개 추가로 근거 강화; 답변 길이 208글자 감소; 3건 판례 활용...
